participant_id,age,gender,education_level,major_category,current_gpa,study_hours_weekly,preferred_study_method,tech_comfort,ai_trust_level,data_sharing_comfort,prediction_usefulness,recommendation_preference,dashboard_complexity,notification_frequency,feature_priority_performance_tracking,feature_priority_study_recommendations,feature_priority_peer_comparison,feature_priority_goal_setting,feature_priority_progress_visualization,privacy_concern_level,open_feedback
P001,23,Female,Junior,Business,3.44,1,Kinesthetic,5,5,4,5,Summary,Detailed,Never,4,3,2,3,4,4,It is important that the tool works offline too since I often study in places with unreliable internet connections on campus.
P002,19,Male,Senior,STEM,2.77,8,Auditory,7,4,2,3,Detailed,Moderate,Before_Exams,5,5,4,5,4,6,I really need help with time management and would love an AI that can suggest optimal study schedules based on my upcoming deadlines.
P003,21,Prefer not to say,Junior,STEM,2.87,13,Reading-Writing,5,4,3,7,Visual,Moderate,Weekly,5,3,3,3,4,5,The tool should help me identify which topics I struggle with the most and prioritize those in my study plan automatically.
P004,20,Prefer not to say,Junior,Humanities,3.46,2,Visual,5,3,5,6,Notification,Simple,Never,4,3,3,5,4,7,I want something that tracks my study habits over time and tells me what is actually working versus what is wasting my time.
P005,25,Female,Sophomore,Humanities,3.52,24,Reading-Writing,6,3,6,5,Notification,Detailed,Before_Exams,5,4,3,5,4,1,I want peer comparison features but only if they are anonymous because I do not want to feel judged by other students in my classes.
P006,21,Male,Junior,STEM,2.88,5,Visual,6,3,2,3,Notification,Moderate,Weekly,4,5,4,4,4,3,The tool should help me identify which topics I struggle with the most and prioritize those in my study plan automatically.
P007,23,Prefer not to say,Senior,Business,3.13,33,Auditory,5,4,3,6,Notification,Moderate,Weekly,4,5,4,4,4,4,The tool should send me smart notifications before exams with targeted review suggestions instead of generic reminders that I will just ignore.
P008,28,Prefer not to say,Sophomore,STEM,2.86,6,Auditory,5,5,4,5,Detailed,Simple,Never,4,4,2,3,5,5,I want something that tracks my study habits over time and tells me what is actually working versus what is wasting my time.
P009,26,Male,Junior,STEM,2.97,15,Auditory,6,5,3,4,Visual,Detailed,Weekly,1,3,3,5,2,3,I would love a study tool that helps me plan my week and gives me personalized suggestions based on my performance trends.
P010,21,Male,Graduate,Business,3.6,18,Visual,4,5,5,5,Summary,Moderate,Daily,5,3,4,5,5,3,The most important feature for me would be accurate grade predictions so I know where I stand and can adjust my effort accordingly.
P011,21,Male,Freshman,STEM,3.09,16,Kinesthetic,7,4,2,5,Visual,Detailed,Daily,4,4,5,1,3,5,I want a tool that helps me balance academics with extracurriculars because I always end up sacrificing one for the other.
P012,23,Female,Junior,Business,2.83,3,Visual,4,3,4,2,Visual,Detailed,Before_Exams,3,2,5,5,3,5,I would love a study tool that helps me plan my week and gives me personalized suggestions based on my performance trends.
P013,18,Female,Senior,STEM,2.61,7,Visual,6,5,5,5,Summary,Moderate,Before_Exams,4,4,5,3,5,6,Having a study buddy matching feature powered by AI would be amazing so I can find classmates who complement my strengths and weaknesses.
P014,19,Female,Freshman,Business,3.14,32,Kinesthetic,4,4,6,6,Visual,Moderate,Weekly,4,5,1,5,4,6,I would use a study tool daily if it had a clean simple interface that does not overwhelm me with too many options or data points.
P015,23,Prefer not to say,Junior,Humanities,3.08,5,Auditory,7,1,2,4,Summary,Moderate,Daily,5,2,4,4,4,4,I want peer comparison features but only if they are anonymous because I do not want to feel judged by other students in my classes.
P016,22,Female,Sophomore,STEM,3.78,40,Reading-Writing,2,4,3,5,Visual,Moderate,Daily,5,4,1,3,5,3,It would be great to have a dashboard that shows my progress clearly with charts and motivational milestones to keep me on track.
P017,28,Male,Junior,Social Sciences,2.86,21,Kinesthetic,4,3,4,5,Visual,Moderate,Never,5,4,3,4,5,5,An AI study assistant should provide actionable feedback not just tell me my grade is low but explain specifically what I can improve.
P018,20,Female,Sophomore,STEM,2.82,29,Reading-Writing,3,4,3,4,Summary,Moderate,Weekly,5,5,4,4,3,6,A study AI should understand different learning styles and adapt its recommendations accordingly rather than giving generic advice to everyone.
P019,19,Male,Freshman,Social Sciences,3.45,9,Auditory,4,2,2,5,Summary,Simple,Daily,3,5,4,4,4,5,I would love a study tool that helps me plan my week and gives me personalized suggestions based on my performance trends.
P020,19,Female,Graduate,Business,3.29,19,Kinesthetic,6,4,2,6,Notification,Simple,Never,5,3,2,4,4,2,It would be great to have a dashboard that shows my progress clearly with charts and motivational milestones to keep me on track.
P021,22,Male,Graduate,Business,3.2,3,Reading-Writing,7,3,5,5,Detailed,Moderate,Weekly,4,5,2,2,5,4,I would appreciate a feature that breaks down large assignments into smaller tasks and helps me track completion over several weeks.
P022,22,Female,Junior,STEM,3.26,4,Kinesthetic,4,5,4,5,Detailed,Moderate,Weekly,4,3,3,5,4,4,Having a study buddy matching feature powered by AI would be amazing so I can find classmates who complement my strengths and weaknesses.
P023,29,Female,Senior,Arts,3.02,28,Reading-Writing,5,1,5,4,Summary,Detailed,Daily,4,4,3,5,5,4,The tool should send me smart notifications before exams with targeted review suggestions instead of generic reminders that I will just ignore.
P024,21,Male,Junior,Arts,3.23,14,Reading-Writing,6,5,2,5,Detailed,Moderate,Weekly,5,4,1,4,4,2,The most important feature for me would be accurate grade predictions so I know where I stand and can adjust my effort accordingly.
P025,22,Female,Senior,Social Sciences,3.51,18,Kinesthetic,5,3,3,4,Summary,Detailed,Weekly,5,5,4,4,4,5,I want peer comparison features but only if they are anonymous because I do not want to feel judged by other students in my classes.
P026,25,Male,Senior,Humanities,2.75,40,Visual,5,4,6,7,Summary,Moderate,Weekly,4,4,1,5,3,6,I want the tool to explain why it recommends certain study strategies so I can learn to make better decisions on my own over time.
P027,22,Female,Sophomore,Arts,3.55,25,Auditory,3,3,5,6,Detailed,Moderate,Before_Exams,2,5,2,3,5,5,I would love a study tool that helps me plan my week and gives me personalized suggestions based on my performance trends.
P028,24,Male,Freshman,Business,3.63,8,Auditory,6,4,5,7,Visual,Simple,Daily,2,4,3,4,5,3,I think gamification elements like streaks and badges could make studying more engaging but they should not feel childish or forced.
P029,23,Female,Graduate,Social Sciences,2.99,8,Visual,4,2,4,7,Visual,Moderate,Weekly,2,3,3,3,4,6,I think gamification elements like streaks and badges could make studying more engaging but they should not feel childish or forced.
P030,25,Female,Senior,Social Sciences,4.0,14,Reading-Writing,5,4,1,4,Detailed,Simple,Weekly,4,5,1,5,2,4,An AI study assistant should provide actionable feedback not just tell me my grade is low but explain specifically what I can improve.
P031,18,Prefer not to say,Senior,Business,3.95,17,Auditory,5,3,5,7,Detailed,Simple,Daily,4,5,4,2,4,4,A study AI should understand different learning styles and adapt its recommendations accordingly rather than giving generic advice to everyone.
P032,24,Male,Senior,STEM,2.52,13,Reading-Writing,4,2,1,5,Detailed,Detailed,Weekly,5,3,5,3,2,5,An ideal study tool would integrate with my existing apps like Google Calendar and my university LMS to reduce the friction of using it.
P033,22,Male,Freshman,STEM,3.61,4,Visual,6,4,3,6,Detailed,Simple,Before_Exams,5,2,5,5,4,5,I need something that adapts to my energy levels throughout the day and suggests the right type of studying for morning versus evening sessions.
P034,23,Prefer not to say,Freshman,Social Sciences,3.5,7,Reading-Writing,5,5,4,4,Summary,Detailed,Daily,4,5,2,4,4,4,The most important feature for me would be accurate grade predictions so I know where I stand and can adjust my effort accordingly.
P035,21,Prefer not to say,Junior,Humanities,2.77,29,Reading-Writing,5,3,4,5,Detailed,Moderate,Weekly,2,3,3,5,4,4,The tool should help me identify which topics I struggle with the most and prioritize those in my study plan automatically.
P036,27,Non-binary,Graduate,STEM,3.41,4,Visual,5,5,3,4,Summary,Detailed,Before_Exams,5,5,4,5,5,4,I would trust the AI more if it showed me the data behind its predictions and let me correct it when it gets something wrong.
P037,18,Female,Graduate,Humanities,3.01,18,Visual,4,6,3,6,Visual,Detailed,Weekly,5,5,1,3,3,4,I would use a study tool daily if it had a clean simple interface that does not overwhelm me with too many options or data points.
P038,26,Female,Junior,Social Sciences,3.56,24,Visual,3,5,3,5,Detailed,Detailed,Weekly,5,4,3,4,3,6,The tool should send me smart notifications before exams with targeted review suggestions instead of generic reminders that I will just ignore.
P039,20,Female,Freshman,Humanities,2.81,19,Reading-Writing,7,2,4,5,Notification,Moderate,Before_Exams,5,5,5,5,4,4,I think AI recommendations could help me discover better study methods since I have been using the same approach since high school.
P040,27,Female,Sophomore,Social Sciences,2.8,3,Kinesthetic,6,1,4,4,Visual,Simple,Weekly,5,5,2,5,5,4,I want the tool to explain why it recommends certain study strategies so I can learn to make better decisions on my own over time.
P041,26,Male,Graduate,Social Sciences,3.96,6,Kinesthetic,7,3,4,5,Visual,Detailed,Weekly,3,3,1,4,3,4,An ideal study tool would integrate with my existing apps like Google Calendar and my university LMS to reduce the friction of using it.
P042,25,Female,Senior,Business,3.22,36,Auditory,5,2,4,5,Visual,Detailed,Before_Exams,5,3,3,3,3,6,It would be great to have a dashboard that shows my progress clearly with charts and motivational milestones to keep me on track.
P043,24,Female,Junior,STEM,3.51,6,Visual,4,5,4,5,Visual,Moderate,Before_Exams,4,4,3,4,4,4,I think gamification elements like streaks and badges could make studying more engaging but they should not feel childish or forced.
P044,29,Prefer not to say,Graduate,Arts,3.6,30,Kinesthetic,4,3,4,4,Detailed,Simple,Daily,4,5,2,3,3,5,The tool should help me identify which topics I struggle with the most and prioritize those in my study plan automatically.
